id,name,series_id,price,year
"1","2013款 奥迪A4L 30 TFSI 手动 舒适型","1","27.28","2013"
"2","2013款 奥迪A4L 30 TFSI 自动 舒适型","1","29.1","2013"
"3","2013款 奥迪A4L 35 TFSI 自动 标准型","1","30.98","2013"
"4","2013款 奥迪A4L 35 TFSI 自动 舒适型","1","32.99","2013"
"5","2013款 奥迪A4L 35 TFSI 自动 技术型","1","36.98","2013"
"6","2013款 奥迪A4L 35 TFSI 自动 豪华型","1","39.9","2013"
"7","2013款 奥迪A4L 40 TFSI quattro个性运动型","1","34.9","2013"
"8","2013款 奥迪A4L 40 TFSI quattro 运动型","1","46.96","2013"
"9","2013款 奥迪A4L 50 TFSI quattro 旗舰型","1","57.81","2013"
"10","2012款 奥迪A4L 1.8 TFSI 手动 舒适型","1","27.28","2012"
"11","2012款 奥迪A4L 1.8 TFSI 舒适型","1","29.1","2012"
"12","2012款 奥迪A4L 2.0 TFSI(132kW) 标准型","1","30.98","2012"
"13","2012款 奥迪A4L 2.0 TFSI(132kW) 舒适型","1","32.99","2012"
"14","2012款 奥迪A4L 2.0 TFSI(132kW) 技术型","1","36.98","2012"
"15","2012款 奥迪A4L 2.0 TFSI(132kW) 豪华型","1","39.9","2012"
"16","2012款 奥迪A4L 2.0 TFSI(155kW) 运动型","1","42.38","2012"
"17","2012款 奥迪A4L 2.0 TFSI(155kW) 尊享型","1","46.45","2012"
"18","2011款 奥迪A4L 1.8 TFSI 舒适型","1","29.1","2011"
"19","2011款 奥迪A4L 2.0 TFSI(132kW) 标准型","1","30.98","2011"
"20","2011款 奥迪A4L 2.0 TFSI(132kW) 舒适型","1","32.99","2011"
"21","2011款 奥迪A4L 2.0 TFSI(132kW) 技术型","1","36.98","2011"
"22","2011款 奥迪A4L 2.0 TFSI(132kW) 豪华型","1","39.9","2011"
"23","2011款 奥迪A4L 2.0 TFSI(155kW) 运动型","1","42.38","2011"
"24","2011款 奥迪A4L 2.0 TFSI(155kW) 尊享型","1","47.12","2011"
"25","2011款 奥迪A4L 3.2 FSI quattro 旗舰型","1","57.81","2011"
"26","2010款 奥迪A4L 1.8TFSI 舒适型","1","29.1","2010"
"27","2010款 奥迪A4L 2.0TFSI 标准型","1","30.98","2010"
"28","2010款 奥迪A4L 2.0TFSI 舒适型","1","32.99","2010"
"29","2010款 奥迪A4L 2.0TFSI 技术型","1","36.98","2010"
"30","2010款 奥迪A4L 2.0TFSI 豪华型","1","39.9","2010"
"31","2010款 奥迪A4L 2.0TFSI 运动型","1","42.38","2010"
"32","2010款 奥迪A4L 3.2FSI quattro 旗舰型","1","57.81","2010"
"33","2009款 奥迪A4L 2.0 TFSI 标准型","1","29.88","2009"
"34","2009款 奥迪A4L 2.0 TFSI 舒适型","1","32.99","2009"
"35","2009款 奥迪A4L 2.0 TFSI 技术型","1","36.18","2009"
"36","2009款 奥迪A4L 2.0 TFSI 豪华型","1","38.86","2009"
"37","2009款 奥迪A4L 3.2 FSI quattro 旗舰型","1","53.88","2009"
"38","2013款 奥迪Q5 35TFSI 标准型","2","35.85","2013"
"39","2013款 奥迪Q5 40TFSI 进取型","2","38.36","2013"
"40","2013款 奥迪Q5 40TFSI 技术型","2","42.76","2013"
"41","2013款 奥迪Q5 40TFSI 舒适型","2","48.19","2013"
"42","2013款 奥迪Q5 40TFSI 动感型","2","54.17","2013"
"43","2013款 奥迪Q5 40TFSI 豪华型","2","56.77","2013"
"44","2012款 奥迪Q5 2.0 TFSI 进取型","2","38.36","2012"
"45","2012款 奥迪Q5 2.0 TFSI 技术型","2","42.76","2012"
"46","2012款 奥迪Q5 2.0 TFSI 舒适型","2","48.19","2012"
"47","2012款 奥迪Q5 2.0 TFSI 豪华型","2","56.77","2012"
"48","2012款 奥迪Q5 2.0 TFSI 动感型","2","54.17","2012"
"49","2011款 奥迪Q5 2.0 TFSI 进取型","2","37.98","2011"
"50","2011款 奥迪Q5 2.0 TFSI 技术型","2","42.38","2011"
"51","2011款 奥迪Q5 2.0 TFSI 舒适型","2","47.58","2011"
"52","2011款 奥迪Q5 2.0 TFSI 豪华型","2","56.77","2011"
"53","2011款 奥迪Q5 2.0 TFSI 动感型","2","52.87","2011"
"54","2010款 奥迪Q5 2.0 TFSI 进取型","2","37.98","2010"
"55","2010款 奥迪Q5 2.0 TFSI 技术型","2","42.38","2010"
"56","2010款 奥迪Q5 2.0 TFSI 舒适型","2","47.58","2010"
"57","2010款 奥迪Q5 2.0 TFSI 豪华型","2","53.98","2010"
"58","2012款 奥迪A6L TFSI 基本型","3","38.3","2012"
"59","2012款 奥迪A6L TFSI 标准型","3","40.98","2012"
"60","2012款 奥迪A6L TFSI 舒适型","3","44.66","2012"
"61","2012款 奥迪A6L 30 FSI 技术型","3","43.28","2012"
"62","2012款 奥迪A6L 30 FSI 舒适型","3","47.26","2012"
"63","2012款 奥迪A6L 30 FSI 豪华型","3","50.66","2012"
"64","2012款 奥迪A6L 35 FSI 舒适型","3","55.16","2012"
"65","2012款 奥迪A6L 35 FSI 豪华型","3","62.76","2012"
"66","2012款 奥迪A6L 35 FSI quattro 豪华型","3","66.96","2012"
"67","2012款 奥迪A6L 50 TFSI quattro 豪华型","3","74.26","2012"
"68","2011款 奥迪A6L 2.0 TFSI 基本型","3","35.5","2011"
"69","2011款 奥迪A6L 2.0 TFSI 标准型(手动)","3","37.75","2011"
"70","2011款 奥迪A6L 2.0 TFSI 标准型(自动)","3","38.9","2011"
"71","2011款 奥迪A6L 2.0 TFSI 舒适型(自动)","3","41.52","2011"
"72","2011款 奥迪A6L 2.4 技术型","3","44.1","2011"
"73","2011款 奥迪A6L 2.4 舒适型","3","47.58","2011"
"74","2011款 奥迪A6L 2.4 豪华型","3","54.2","2011"
"75","2011款 奥迪A6L 2.7 TDI","3","48.88","2011"
"76","2011款 奥迪A6L 2.8FSI quattro 豪华型","3","65.3","2011"
"77","2011款 奥迪A6L 2.8 FSI 舒适型","3","53.77","2011"
"78","2011款 奥迪A6L 2.8 FSI 豪华型","3","62.37","2011"
"79","2011款 奥迪A6L 3.0T FSI quattro 豪华型","3","69.9","2011"
"80","2010款 奥迪A6L 2.0TFSI 基本型","3","35.5","2010"
"81","2010款 奥迪A6L 2.0TFSI 标准型(手动)","3","37.75","2010"
"82","2010款 奥迪A6L 2.0TFSI 标准型(自动)","3","39.99","2010"
"83","2010款 奥迪A6L 2.4技术型","3","43.15","2010"
"84","2010款 奥迪A6L 2.4舒适型","3","47.58","2010"
"85","2010款 奥迪A6L 2.4豪华型","3","53.33","2010"
"86","2010款 奥迪A6L 2.7 TDI","3","48.88","2010"
"87","2010款 奥迪A6L 2.8FSI quattro 豪华型","3","65.02","2010"
"88","2010款 奥迪A6L 2.8FSI 舒适型","3","53.77","2010"
"89","2010款 奥迪A6L 2.8FSI 豪华型","3","61.82","2010"
"90","2010款 奥迪A6L 3.0FSI quattro 豪华型","3","69.6","2010"
"91","2009款 奥迪A6L 2.0 TFSI 基本型","3","35.5","2009"
"92","2009款 奥迪A6L 2.0 TFSI 标准型(手动)","3","37.25","2009"
"93","2009款 奥迪A6L 2.0 TFSI 标准型(自动)","3","39.8","2009"
"94","2009款 奥迪A6L 2.4 技术型","3","42.45","2009"
"95","2009款 奥迪A6L 2.4 舒适型","3","46.88","2009"
"96","2009款 奥迪A6L 2.4 豪华型","3","52.98","2009"
"97","2009款 奥迪A6L 2.8 FSI quattro 豪华型","3","65.02","2009"
"98","2009款 奥迪A6L 2.8 FSI 舒适娱乐型","3","52.62","2009"
"99","2009款 奥迪A6L 2.8 FSI 豪华型","3","61.82","2009"
"100","2009款 奥迪A6L 3.0 TFSI quattro 豪华型","3","69.6","2009"
"101","2008款 奥迪A6L 2.4 技术型","3","42.45","2008"
"102","2008款 奥迪A6L 2.4舒适型","3","46.88","2008"
"103","2008款 奥迪A6L 2.8 FSI 舒适娱乐型","3","52.5","2008"
"104","2008款 奥迪A6L 2.8 FSI 尊享型","3","60.68","2008"
"105","2007款 奥迪A6L 3.2FSI quattro领先尊享型","3","72.13","2007"
"106","2007款 奥迪A6L 3.2 FSI 舒适型","3","57.39","2007"
"107","2007款 奥迪A6L 3.2 FSI 尊享型","3","64.19","2007"
"108","2006款 奥迪A6L 2.4 CVT 豪华型","3","46.84","2006"
"109","2006款 奥迪A6L 2.4 CVT 舒适型","3","46.88","2006"
"110","2006款 奥迪A6L 3.0自动尊贵型","3","64.98","2006"
"111","2006款 奥迪A6L 3.2 FSI quattro 舒适娱乐型","3","57.99","2006"
"112","2006款 奥迪A6L 3.2 FSI quattro 豪华型","3","65.57","2006"
"113","2006款 奥迪A6L 4.2FSI quattro至尊旗舰型","3","85.33","2006"
"114","2005款 奥迪A6L 1.8T手动公务版","3","29.8","2005"
"115","2005款 奥迪A6L 1.8T手自一体基本型","3","36.85","2005"
"116","2005款 奥迪A6L 2.0T FSI手动基本型","3","34.72","2005"
"117","2005款 奥迪A6L 2.0T FSI手动标准型","3","37.25","2005"
"118","2005款 奥迪A6L 2.0T FSI自动标准型","3","39.8","2005"
"119","2005款 奥迪A6L 2.4技术型","3","42.45","2005"
"120","2005款 奥迪A6L 2.4标准型","3","46.31","2005"
"122","2005款 奥迪A6L 2.4技术领先型＋＋","3","50.11","2005"
"123","2005款 奥迪A6L 2.4L自动技术领先型","3","50.34","2005"
"124","2005款 奥迪A6L 2.4豪华型","3","50.47","2005"
"125","2005款 奥迪A6L 2.4尊贵型","3","52.61","2005"
"126","2005款 奥迪A6L 3.0L quattro领先尊享型（4驱）","3","73.28","2005"
"127","2005款 奥迪A6L 3.0 quattro 自动旗舰型","3","50.09","2005"
"128","2005款 奥迪A6L 3.0自动舒适型","3","53.85","2005"
"129","2005款 奥迪A6L 3.0L舒适娱乐型","3","57.89","2005"
"130","2005款 奥迪A6L 3.0L技术领先型","3","65.02","2005"
"145","2003款 奥迪A6 1.8T 舒适型 MT","2285","38","2003"
"146","2003款 奥迪A6 1.8T 简装版","2285","32.18","2003"
"147","2003款 奥迪A6 1.8i基本型","2285","32.8","2003"
"148","2003款 奥迪A6 1.8T手动基本型","2285","35.85","2003"
"149","2003款 奥迪A6 2.4L MT 基本型","2285","42.55","2003"
"150","2003款 奥迪A6 2.4L舒适型","2285","45.96","2003"
"151","2003款 奥迪A6 2.4L 豪华行政版","2285","54.62","2003"
"152","2003款 奥迪A6 2.4L 基本型 手自一体","2285","42.55","2003"
"153","2003款 奥迪A6 2.4L 技术领先型","2285","49.97","2003"
"154","2003款 奥迪A6 2.5TDI","2285","45.51","2003"
"155","2003款 奥迪A6 2.8L A/MT","2285","52.32","2003"
"157","2003款 奥迪A6 2.8CVT技术领先型","2285","52.32","2003"
"158","2003款 奥迪A6 2.8豪华行政版","2285","56.97","2003"
"159","2002款 奥迪A6 1.8T 手动舒适型","2285","39.91","2002"
"160","2002款 奥迪A6 1.8T 自动基本型","2285","37.6","2002"
"161","2002款 奥迪A6 1.8T 自动豪华型","2285","43.36","2002"
"162","2002款 奥迪A6 2.4豪华行政版","2285","46.01","2002"
"163","2001款 奥迪A6 2.4豪华行政版","2285","46.01","2001"
"164","2000款 奥迪A6 1.8 MT 基本型","2285","34.79","2000"
"165","2000款 奥迪A6 1.8T 手动基本型","2285","42.51","2000"
"166","2000款 奥迪A6 1.8T 自动基本型","2285","37.6","2000"
"167","2000款 奥迪A6 2.8L","2285","52.32","2000"
"168","2013款 奥迪Q3 35TFSI 进取型","4","28.5","2013"
"169","2013款 奥迪Q3 35TFSI 舒适型","4","31.6","2013"
"170","2013款 奥迪Q3 35TFSI quattro 四驱技术型","4","33.38","2013"
"171","2013款 奥迪Q3 35TFSI quattro 四驱舒适型","4","35.68","2013"
"172","2013款 奥迪Q3 35TFSI quattro 四驱豪华型","4","39.68","2013"
"173","2013款 奥迪Q3 40TFSI quattro 四驱豪华型","4","42.88","2013"
"174","2013款 奥迪A3 35 TFSI 基本型","5","30","2013"
"178","2007款 奥迪A4 1.8T舒适型(手动)","6","28.34","2007"
"179","2007款 奥迪A4 2.0T FSI 标准型","6","31.75","2007"
"180","2007款 奥迪A4 2.0T FSI舒适型","6","32.55","2007"
"181","2007款 奥迪A4 3.0 quattro旗舰型","6","50.09","2007"
"182","2005款 奥迪A4 1.8T手动基本型","6","28.34","2005"
"184","2005款 奥迪A4 1.8T自动基本型","6","30.34","2005"
"185","2005款 奥迪A4 1.8T S-line（个性风格版）","6","30.9","2005"
"186","2005款 奥迪A4 1.8T自动舒适型","6","31.62","2005"
"187","2005款 奥迪A4 1.8T自动舒适型(+)","6","33.55","2005"
"188","2005款 奥迪A4 1.8T自动豪华型","6","34.1","2005"
"190","2005款 奥迪A4 2.0TFSI豪华型","6","34.34","2005"
"191","2005款 奥迪A4 2.0TFSI标准型","6","37.31","2005"
"192","2005款 奥迪A4 2.0TFSI尊享型","6","39.91","2005"
"193","2005款 奥迪A4 3.0 quattro自动旗舰型","6","50.09","2005"
"194","2004款 奥迪A4 1.8T手动基本型","6","32.35","2004"
"195","2004款 奥迪A4 1.8T自动基本型","6","32.95","2004"
"196","2004款 奥迪A4 1.8T自动舒适型","6","35.35","2004"
"197","2004款 奥迪A4 1.8T自动技术领先型","6","37.29","2004"
"198","2004款 奥迪A4 2.4L自动舒适型","6","40.59","2004"
"199","2004款 奥迪A4 2.4L自动舒适运动型","6","43.59","2004"
"200","2004款 奥迪A4 2.4L自动舒适尊享型","6","48.09","2004"
"201","2004款 奥迪A4 3.0quattro自动豪华尊享型","6","54.65","2004"
"202","2004款 奥迪A4 3.0 quattro敞蓬","6","76","2004"
"203","2003款 奥迪A4 1.8T自动基本型","6","35.9","2003"
"204","2003款 奥迪A4 1.8T自动舒适加温型","6","40.7","2003"
"205","2003款 奥迪A4 3.0quattro自动舒适型","6","48.7","2003"
"206","2003款 奥迪A4 3.0quattro舒适加温型","6","50.1","2003"
"207","2003款 奥迪A4 3.0quattro自动舒适娱乐型","6","52.5","2003"
"208","2003款 奥迪A4 3.0quattro舒适尊享型","6","53.9","2003"
"209","1994款 奥迪100 1.8L","7","30","1994"
"210","1994款 奥迪100 2.0L","7","32","1994"
"211","1994款 奥迪100 2.2L（五缸）","7","33.5","1994"
"212","1994款 奥迪100 V6 2.4L MT","7","42","1994"
"213","1994款 奥迪100 2.6L（六缸）","7","36","1994"
"214","1999款 奥迪200 2.2L MT","8","40.3","1999"
"215","1999款 奥迪200 2.6L MT","8","41.2","1999"
"216","1998款 奥迪200 1.8T","8","35.6","1998"
"217","1998款 奥迪200 2.4L","8","43.5","1998"
"218","2014款 奥迪Q7(进口) 35 TFSI quattro 进取型","9","82.7","2014"
"219","2014款 奥迪Q7(进口) 35 TFSI quattro 运动型","9","89.78","2014"
"220","2014款 奥迪Q7(进口) 35 TDI quattro 越野型","9","90.28","2014"
"221","2014款 奥迪Q7(进口) 35 TDI quattro 运动型","9","90.28","2014"
"222","2014款 奥迪Q7(进口) 35 TFSI quattro 越野型","9","97.18","2014"
"223","2014款 奥迪Q7(进口) 35 TDI quattro 专享型","9","105.18","2014"
"224","2014款 奥迪Q7(进口) 40 TFSI quattro 运动型","9","111.18","2014"
"225","2014款 奥迪Q7(进口) 35 TFSI quattro 专享型","9","111.2","2014"
"226","2014款 奥迪Q7(进口) 40 TFSI quattro 越野型","9","118.38","2014"
"227","2014款 奥迪Q7(进口) 40 TFSI quattro 专享型","9","133.9","2014"
"228","2013款 奥迪Q7(进口) 35 TFSI 进取型","9","82.1","2013"
"229","2013款 奥迪Q7(进口) 35 TFSI 技术型","9","88.1","2013"
"230","2013款 奥迪Q7(进口) 35 TDI 领先型","9","88.6","2013"
"231","2013款 奥迪Q7(进口) 35 TFSI 舒适型","9","95.5","2013"
"232","2013款 奥迪Q7(进口) 35 TDI 专享型","9","104.58","2013"
"233","2013款 奥迪Q7(进口) 40 TFSI 技术型","9","109.5","2013"
"234","2013款 奥迪Q7(进口) 35 TFSI 专享型","9","110.6","2013"
"235","2013款 奥迪Q7(进口) 40 TFSI 舒适型","9","116.7","2013"
"236","2013款 奥迪Q7(进口) 40 TFSI 专享型","9","133.3","2013"
"237","2011款 奥迪Q7(进口) 3.0 TFSI quattro(200kW) 进取型","9","82.1","2011"
"238","2011款 奥迪Q7(进口) 3.0 TFSI quattro(200kW) 技术型","9","88.1","2011"
"239","2011款 奥迪Q7(进口) 3.0 TFSI quattro(200kW) 舒适型","9","95.5","2011"
"240","2011款 奥迪Q7(进口) 3.0 TFSI quattro(245kW) 技术型","9","109.5","2011"
"241","2011款 奥迪Q7(进口) 3.0 TFSI quattro(200kW) 专享型","9","110.6","2011"
"242","2011款 奥迪Q7(进口) 3.0 TFSI quattro(245kW) 舒适型","9","116.7","2011"
"243","2011款 奥迪Q7(进口) 3.0 TFSI quattro(245kW) 专享型","9","131.9","2011"
"244","2010款 奥迪Q7(进口) 3.0 TDI quattro 领先型","9","87.6","2010"
"245","2010款 奥迪Q7(进口) 3.0 TDI quattro 领先型运动典藏版","9","95.71","2010"
"246","2010款 奥迪Q7(进口) 3.6 FSI基本型","9","81.5","2010"
"247","2010款 奥迪Q7(进口) 3.6 FSI技术型","9","87.5","2010"
"248","2010款 奥迪Q7(进口) 3.6 FSI quattro 技术型越野典藏版","9","91.9","2010"
"249","2010款 奥迪Q7(进口) 3.6 FSI舒适型","9","94.8","2010"
"250","2010款 奥迪Q7(进口) 3.6 FSI quattro 技术型运动典藏版","9","95.61","2010"
"251","2010款 奥迪Q7(进口) 3.6 FSI quattro 舒适型越野典藏版","9","98","2010"
"252","2010款 奥迪Q7(进口) 3.6 FSI豪华型","9","99.8","2010"
"253","2010款 奥迪Q7(进口) 3.6 FSI quattro 舒适型运动典藏版","9","102.01","2010"
"254","2010款 奥迪Q7(进口) 4.2 FSI技术型","9","149.8","2010"
"255","2010款 奥迪Q7(进口) 4.2 FSI豪华型","9","165","2010"
"256","2010款 奥迪Q7(进口) 4.8L 120英寸加长车","9","208","2010"
"257","2010款 奥迪Q7(进口) 6.0 V12 TDI旗舰型","9","256.8","2010"
"258","2009款 奥迪Q7(进口) 3.6 FSI quattro 技术型 风尚版","9","91.7","2009"
"259","2009款 奥迪Q7(进口) 3.6 FSI quattro 技术型 越野版","9","91.7","2009"
"260","2009款 奥迪Q7(进口) 3.6 FSI quattro 舒适型 风尚版","9","99.8","2009"
"261","2009款 奥迪Q7(进口) 3.6 FSI quattro 舒适型 越野版","9","99.8","2009"
"262","2007款 奥迪Q7(进口) 3.6 FSI quattro 技术型","9","87.5","2007"
"263","2007款 奥迪Q7(进口) 3.6 FSI quattro 舒适型","9","96.8","2007"
"264","2007款 奥迪Q7(进口) 3.6 FSI quattro 豪华型","9","102","2007"
"265","2007款 奥迪Q7(进口) 4.2 FSI quattro 舒适型","9","158","2007"
"266","2007款 奥迪Q7(进口) 4.2 FSI quattro 豪华型","9","165","2007"
"267","2006款 奥迪Q7(进口) 3.6 FSI quattro 基本型","9","81.5","2006"
"268","2006款 奥迪Q7(进口) 4.2 FSI quattro 技术型","9","149.8","2006"
"269","2012款 奥迪Q7(进口) 3.0 TFSI quattro(200kW)进取型","9","82.1","2012"
"270","2012款 奥迪Q7(进口) 3.0 TFSI quattro(200kW)技术型","9","88.1","2012"
"271","2012款 奥迪Q7(进口) 3.0 TDI quattro 领先型","9","88.6","2012"
"272","2012款 奥迪Q7(进口) TDI V6 3.0 柴油","9","88.6","2012"
"273","2012款 奥迪Q7(进口) 3.0 TFSI quattro(200kW)舒适型","9","95.5","2012"
"274","2012款 奥迪Q7(进口) 3.0 TDI quattro 专享型","9","104.58","2012"
"275","2012款 奥迪Q7(进口) 3.0 TFSI quattro(245kW)技术型","9","109.5","2012"
"276","2012款 奥迪Q7(进口) 3.0 TFSI quattro(200kW)专享型","9","110.6","2012"
"277","2012款 奥迪Q7(进口) 3.0 TFSI quattro(245kW)舒适型","9","116.7","2012"
"278","2012款 奥迪Q7(进口) 3.0 TFSI quattro(245kW)专享型","9","131.9","2012"
"279","2012款 奥迪Q7(进口) 6.0 TDI quattro 旗舰型","9","257.8","2012"
"280","2013款 奥迪A8L(进口) 40 hybrid","10","109","2013"
"281","2013款 奥迪A8L(进口) 30 FSI 舒适型","10","87.1","2013"
"282","2013款 奥迪A8L(进口) 30 FSI 专享型","10","98.1","2013"
"283","2013款 奥迪A8L(进口) 45 TFSI quattro舒适型","10","93.1","2013"
"284","2013款 奥迪A8L(进口) 45 TFSI quattro豪华型","10","100.1","2013"
"285","2013款 奥迪A8L(进口) 45 TFSI quattro专享型","10","110.8","2013"
"286","2013款 奥迪A8L(进口) 50 TFSI quattro舒适型","10","116.8","2013"
"287","2013款 奥迪A8L(进口) 50 TFSI quattro豪华型","10","122.8","2013"
"288","2013款 奥迪A8L(进口) 50 TFSI quattro尊贵型","10","136.5","2013"
"289","2013款 奥迪A8L(进口) 50 TFSI quattro专享型","10","147.5","2013"
"290","2013款 奥迪A8L(进口) 55 TFSI quattro豪华型","10","179.1","2013"
"291","2013款 奥迪A8L(进口) 55 TFSI quattro尊贵型","10","193.1","2013"
"292","2013款 奥迪A8L(进口) 55 TFSI quattro专享型","10","204.8","2013"
"293","2013款 奥迪A8L(进口) 6.3FSI W12 quattro旗舰型","10","250.1","2013"
"294","2013款 奥迪A8L(进口) 6.3FSI W12 quattro专享型","10","264.8","2013"
"295","2012款 奥迪A8L(进口) 45 TFSI quattro 舒适型","10","93.1","2012"
"296","2012款 奥迪A8L(进口) 45 TFSI quattro 豪华型","10","100.1","2012"
"297","2012款 奥迪A8L(进口) 45 TFSI quattro 专享型","10","110.8","2012"
"298","2012款 奥迪A8L(进口) 50 TFSI quattro 舒适型","10","116.8","2012"
"299","2012款 奥迪A8L(进口) 50 TFSI quattro 豪华型","10","122.8","2012"
"300","2012款 奥迪A8L(进口) 50 TFSI quattro 尊贵型","10","136.5","2012"
"301","2012款 奥迪A8L(进口) 6.3 FSI W12 quattro 旗舰型","10","250.1","2012"
"302","2011款 奥迪A8L(进口) 3.0 TFSI quattro 舒适型(213kW)","10","92.8","2011"
"303","2011款 奥迪A8L(进口) 3.0 TFSI quattro 豪华型(213KW)","10","99.8","2011"
"304","2011款 奥迪A8L(进口) 3.0 TFSI quattro 舒适型(245kW)","10","116.5","2011"
"305","2011款 奥迪A8L(进口) 3.0 TFSI quattro 豪华型(245kW)","10","122.5","2011"
"306","2011款 奥迪A8L(进口) 3.0 TFSI high quattro 尊贵型(245kW)","10","136.2","2011"
"307","2011款 奥迪A8L(进口) 6.3 FSI W12 quattro 旗舰型","10","249.8","2011"
"308","2010款 奥迪A8L(进口) 2.8 FSI 标准型","10","85.8","2010"
"309","2010款 奥迪A8L(进口) 百年纪念版 3.0 FSI","10","105.8","2010"
"310","2010款 奥迪A8L(进口) 3.0 FSI 标准型","10","92.8","2010"
"311","2010款 奥迪A8L(进口) 3.0 FSI 豪华型","10","95.8","2010"
"312","2010款 奥迪A8L(进口) 3.0 FSI 尊贵型","10","99.8","2010"
"313","2010款 奥迪A8L(进口) 4.2 FSI quattro 尊贵型","10","168","2010"
"314","2010款 奥迪A8L(进口) 6.0 W12 quattro 旗舰型","10","249.8","2010"
"315","2010款 奥迪A8L(进口) 百年纪念版 6.0 W12 quattro","10","254","2010"
"316","2010款 奥迪A8L(进口) 6.0 W12 quattro 专享尊崇型","10","291.9","2010"
"317","2009款 奥迪A8L(进口) 3.0 FSI 标准型","10","92.8","2009"
"318","2009款 奥迪A8L(进口) 3.0 FSI 豪华型","10","95.8","2009"
"319","2009款 奥迪A8L(进口) 3.0 FSI 尊贵型","10","99.8","2009"
"320","2008款 奥迪A8L(进口) 2.8FSI 标准型","10","85.8","2008"
"321","2008款 奥迪A8L(进口) 2.8FSI 豪华型","10","89.8","2008"
"322","2008款 奥迪A8L(进口) 3.2 FSI尊贵型","10","114.5","2008"
"323","2008款 奥迪A8L(进口) 3.2FSI 标准型","10","99.5","2008"
"324","2008款 奥迪A8L(进口) 3.2FSI 豪华型","10","106.5","2008"
"325","2008款 奥迪A8L(进口) 4.2 FSI quattro 尊贵型","10","168","2008"
"326","2008款 奥迪A8L(进口) 6.0 W12 quattro 旗舰型","10","249.8","2008"
"327","2008款 奥迪A8L(进口) 6.0 W12 quattro 专享尊崇型","10","291.9","2008"
"328","2006款 奥迪A8L(进口) 3.2 FSI技术型","10","98.55","2006"
"329","2003款 奥迪A8L(进口) 3.0","10","87.9","2003"
"330","2003款 奥迪A8L(进口) 3.7 quattro","10","138","2003"
"331","2003款 奥迪A8L(进口) 4.2 FSI quattro至尊型","10","132","2003"
"332","2002款 奥迪A8L(进口) 6.0 quattro","10","170","2002"
"333","2000款 奥迪A8L(进口) 2.8 quattro","10","93.8","2000"
"334","2000款 奥迪A8L(进口) 4.2 quattro","10","132","2000"
"335","2014款 奥迪R8(进口) Coupe 4.2 FSI quattro","11","182.3","2014"
"336","2014款 奥迪R8(进口) Spyder 4.2 FSI quattro","11","198.8","2014"
"337","2014款 奥迪R8(进口) Coupe 5.2 FSI quattro","11","235.3","2014"
"338","2014款 奥迪R8(进口) Spyder 5.2 FSI quattro","11","252.3","2014"
"339","2012款 奥迪R8(进口) 5.2 FSI quattro 限量版","11","262.8","2012"
"340","2013款 奥迪R8(进口) 5.2 FSI quattro 中国专享型","11","262.8","2013"
"341","2008款 奥迪R8(进口) 4.2L FSI quattro","11","239.8","2008"
"342","2011款 奥迪R8(进口) Coupe V10 5.2L FSI quattro","11","232.8","2011"
"343","2011款 奥迪R8(进口) Spyder 5.2L FSI quattro","11","249.8","2011"
"344","2010款 奥迪R8(进口) 5.2 FSI quattro","11","232.8","2010"
"345","2013款 奥迪A5(进口) Sportback 40TFSI","12","49.98","2013"
"346","2013款 奥迪A5(进口) Sportback 40 TFSI风尚版","12","51.97","2013"
"347","2013款 奥迪A5(进口) Coupe 40TFSI","12","52.5","2013"
"348","2013款 奥迪A5(进口) Coupe 40 TFSI风尚版","12","54.49","2013"
"349","2013款 奥迪A5(进口) Cabriolet 40TFSI","12","59.8","2013"
"350","2013款 奥迪A5(进口) Cabriolet 40 TFSI风尚版","12","61.79","2013"
"351","2013款 奥迪A5(进口) Coupe 40TFSI quattro","12","57.8","2013"
"352","2013款 奥迪A5(进口) Sportback 40TFSI quattro","12","58.5","2013"
"353","2013款 奥迪A5(进口) Coupe 40 TFSI quattro风尚版","12","59.79","2013"
